No,Title,Author,Publisher,Year
1,A survey of major commercial food fish landed at Negombo,National Aquatic Resources Agency,NARA,1978
2,Oceanographic atlas of Sri Lankan waters,National Aquatic Resources Agency,NARA,1982
3,Marine biological resources of the Kalpitiya peninsula with reference to Puttalam lagoon and Dutch bay,National Aquatic Resources Agency,NARA,1988
4,An atlas of the offshore resources of the north-western waters of Sri Lanka,National Aquatic Resources Agency,NARA,1989
5,The state of marine pollution of Hikkaduwa coastal waters,National Aquatic Resources Agency,NARA,1991
6,Oil pollution a threat to the marine environment of Sri Lanka,National Aquatic Resources Agency,NARA,1991
7,The sea cucumbers of Sri Lanka,National Aquatic Resources Agency,NARA,1993
8,Preliminary studies on sea-weeds of the Jaffna region,National Aquatic Resources Agency,NARA,1994
9,Wetland bird survey in Sri Lanka,National Aquatic Resources Agency,NARA,1995
10,A preliminary survey of sea-weeds in the Trincomalee region,National Aquatic Resources Agency,NARA,1995
11,Chemical quality of drinking water in rural coastal communities of Sri Lanka,National Aquatic Resources Agency,NARA,1995
12,An account of sea-birds seen in the coastal areas of Jaffna peninsula,National Aquatic Resources Agency,NARA,1995
13,Observations on the whale shark Rhiniodon Typus (Smith) in Sri Lankan waters,National Aquatic Resources Agency,NARA,1996
14,FAD fishing in Sri Lanka,National Aquatic Resources Agency,NARA,1996
15,Status of the fishery resources of Negombo lagoon,National Aquatic Resources Agency,NARA,1996
16,Marine pollution studies in Sri Lanka,National Aquatic Resources Agency,NARA,1996
17,Studies on spiny lobster resources in Sri Lanka,National Aquatic Resources Agency,NARA,1996
18,Coastal resources of the Kalpitiya Peninsula special area management plan,National Aquatic Resources Agency,NARA,1997
19,Mangroves of Mundal Lake and Kala Oya estuary,National Aquatic Resources Agency,NARA,1998
20,Deep water shrimps and lobsters of Sri Lanka a review of the exploratory fishing,National Aquatic Resources Agency,NARA,1998
21,Seaweed resources of Sri Lanka,National Aquatic Resources Agency,NARA,1998
22,Proceedings of the Annual Research Sessions 2009,National Aquatic Resources Agency,NARA,2009
23,Report of 17th Annual Research Session,National Aquatic Resources Agency,NARA,2013
24,Report of the 18th Annual Research Session,National Aquatic Resources Agency,NARA,2014
25,Report of the 19th annual research session,National Aquatic Resources Agency,NARA,2016
26,Technical progress report,National Aquatic Resources Agency,NARA,2016
27,Strategic plan and corporate plan 2017 - 2021,National Aquatic Resources Agency,NARA,2017
28,A guide to Underwater Architectural forms of the Indian ocean,Muthucumarana Ranjith,NARA,2018
29,Annual report 2017,National Aquatic Resources Agency,NARA,2018
30,Report of the 20th annual research session,National Aquatic Resources Agency,NARA,2018
31,Report of the 21st annual research session,National Aquatic Resources Agency,NARA,2019
